id,name,lat,lng,category,country,city,sources,url,tags
6309,Comblain en Transition,50.4753599245958,5.57532084752905,ecovillage,BE,Comblain-au-Pont,Murmurations,comblainentransition.be,Transition Group
6310,Compiègne en Transition,49.4179497,2.8263171,ecovillage,FR,,Murmurations,compiegne-en-transition.org/fr,Transition Group
6311,Court circuit café,43.700422,7.2869,ecovillage,FR,Nice,Murmurations,court-circuit-cafe.org,Transition Group
6312,Croydon Transition Town,51.372552,-0.101102,ecovillage,GB,Croydon,Murmurations,croydontransitiontown.org.uk,Transition Group
6313,Deal Hop Farm,51.22604976,1.402215958,ecovillage,,Deal,Murmurations,dealhopfarm.org.uk,Transition Group
6314,BODUKAP – Bonheiden/Sint Katelijne Waver/O.L.V Waver/Putte  — transition initiative (mulling) at De Weegbree,51.050157,4.583674,ecovillage,BE,Onze-Lieve-Vrouw-Waver,Murmurations,deweegbree.be/projecten/transitie.html,Transition Group
6315,Dunum und umzu,53.59781524,7.64504671,ecovillage,,,Murmurations,dunumundumzu.de,transition|transitiontown
6316,Ferney-Voltaire,46.256827,6.109735,ecovillage,FR,Ferney-Voltaire,Murmurations,eco-pratique.org,Transition Group
6317,Eco-Comunidades na Planície,38.015304,-7.862731,ecovillage,PT,Beja,Murmurations,ecocomunidadesplanicie.wordpress.com,Transition Group
6318,EducaTerre Chablais,46.2513776,7.0123881,ecovillage,CH,,Murmurations,educaterre-chablais.ch,Transition Group
6319,Schaerbeek In Transition,50.861444,4.378202,ecovillage,BE,Brussels,Murmurations,entransition.be,Transition Group
6320,Hamamatsu,34.975562,138.38276,ecovillage,JP,,Murmurations,etthamamatsu.jimdo.com,Transition Group
6321,Orangevale Homesteading Guild,38.678515,-121.225782,ecovillage,US,Orangevale,Murmurations,facebook.com/OrangevaleHomesteadingGuild,Transition Group
6322,Burnie Transition Group,-41.070133,145.896299,ecovillage,AU,,Murmurations,facebook.com/TransitionBurnie,Transition Group
6323,East Geelong,-38.152647,144.370393,ecovillage,AU,East Geelong,Murmurations,facebook.com/TransitionEastGeelong,Transition Group
6324,Damariscotta Region Transition Town Initiative (DRTTI),44.032877,-69.518888,ecovillage,US,Damariscotta,Murmurations,facebook.com/drtti,Transition Group
6325,Axarquía En Transición,36.737251,-4.096382,ecovillage,ES,Velez-Málaga,Murmurations,facebook.com/groups/261011497363317,Transition Group
6326,Odla Molkom,59.5987314,13.7281178,ecovillage,SE,Molkom,Murmurations,facebook.com/groups/OdlaMolkom,Transition Group
6327,East Valley Transition,33.448377,-112.074037,ecovillage,US,Phoenix,IC.org|Murmurations,facebook.com/groups/eastvalleytransition,Cohousing (individual homes within group owned property.)|Transition Group
6328,Maribyrnong,-37.805712,144.891922,ecovillage,AU,Seddon,Murmurations,facebook.com/groups/transitionmaribyrnong,Transition Group
6329,Pombal em Transição,39.913781,-8.627491,ecovillage,PT,Pombal,Murmurations,facebook.com/home.php?sk=group_138761146172839,Transition Group
6330,Transition Trier - Trier im Wandel,49.7523895,6.6392076,ecovillage,,,Murmurations,facebook.com/pg/TransitionTrier,transition|transitiontown
